routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.017,0.054,0.0,4378
__check_action_completion,0.0,0.001,0.0,4378
preplanner/update_percepts,0.002,0.007,0.001,4378
preplanner/needs_planning,0.0,0.0,0.0,4378
preplanner/calculate_access_opportunities,0.061,0.067,0.039,864
preplanner/_schedule_observations,0.157,0.195,0.076,864
preplanner/is_observation_path_valid,0.0,0.0,0.0,864
preplanner/_schedule_broadcasts,0.056,0.107,0.0,864
preplanner/_schedule_maneuvers,0.0,0.0,0.0,864
preplanner/__schedule_periodic_replan,0.001,0.004,0.0,864
preplanner/generate_plan,0.215,0.265,0.092,864
replanner/needs_planning,0.0,0.0,0.0,4378
